keyword,alts,category,continent,first_letter
lesotho,[],country,Africa,l
liberia,[],country,Africa,l
libya,[],country,Africa,l
liechtenstein,[],country,Europe,l
lithuania,[],country,Europe,l
luxembourg,[],country,Europe,l
madagascar,[],country,Africa,m
malawi,[],country,Africa,m
malaysia,[],country,Asia,m
maldives,[],country,Asia,m
mali,[],country,Africa,m
malta,[],country,Europe,m
marshall islands,[],country,North America,m
mauritania,[],country,Africa,m
mauritius,[],country,Africa,m
mexico,[],country,North America,m
moldova,[],country,Europe,m
monaco,[],country,Europe,m
mongolia,[],country,Asia,m
montenegro,[],country,Europe,m
morocco,[],country,Africa,m
mozambique,[],country,Africa,m
myanmar,['burma'],country,Asia,m
namibia,[],country,Africa,n
nauru,[],country,Australia,n
nepal,[],country,Asia,n
netherlands,['holland'],country,Europe,n
new zealand,[],country,Australia,n
nicaragua,[],country,North America,n
niger,[],country,Africa,n
nigeria,[],country,Africa,n
north korea,"['dprk', 'democratic peoples republic of korea']",country,Asia,n
norway,[],country,Europe,n
oman,[],country,Asia,o
pakistan,[],country,Asia,p
palau,[],country,Asia,p
palestine,[],country,Asia,p
panama,[],country,North America,p
papua new guinea,[],country,Australia,p
paraguay,[],country,South America,p
peru,[],country,South America,p
philippines,[],country,Asia,p
poland,[],country,Europe,p
portugal,[],country,Europe,p
qatar,[],country,Asia,q
romania,[],country,Europe,r
russia,[],country,Europe,r
rwanda,[],country,Africa,r
saint kitts and nevis,[],country,North America,s
saint lucia,[],country,North America,s
saint vincent and the grenadines,[],country,North America,s
samoa,[],country,Australia,s
san marino,[],country,Europe,s
sao tome and principe,[],country,Africa,s
saudi arabia,[],country,Asia,s
senegal,[],country,Africa,s
serbia,[],country,Europe,s
seychelles,[],country,Africa,s
sierra leone,[],country,Africa,s
singapore,[],country,Asia,s
slovakia,[],country,Europe,s
slovenia,[],country,Europe,s
solomon islands,[],country,Australia,s
somalia,[],country,Africa,s
south africa,[],country,Africa,s
south korea,['republic of korea'],country,Asia,s
spain,[],country,Europe,s
sudan,[],country,Africa,s
suriname,[],country,South America,s
swaziland,['eswatini'],country,Africa,s
sweden,[],country,Europe,s
switzerland,[],country,Europe,s
syria,[],country,Asia,s
taiwan,[],country,Asia,t
tajikistan,[],country,Asia,t
tanzania,[],country,Africa,t
thailand,[],country,Asia,t
togo,[],country,Africa,t
tonga,[],country,Australia,t
trinidad and tobago,[],country,North America,t
tunisia,[],country,Africa,t
turkey,[],country,Europe,t
turkmenistan,[],country,Asia,t
tuvalu,[],country,Australia,t
uganda,[],country,Africa,u
ukraine,[],country,Europe,u
united arab emirates,[],country,Asia,u
united kingdom,"['uk', 'great britain']",country,Europe,u
united states of america,"['usa', 'united states', 'us']",country,North America,u
uruguay,[],country,South America,u
uzbekistan,[],country,Asia,u
vanuatu,[],country,Australia,v
venezuela,[],country,South America,v
vietnam,[],country,Asia,v
yemen,[],country,Africa,y
zambia,[],country,Africa,z
zimbabwe,[],country,Africa,z
amsterdam netherlands,"['amsterdam', 'amsterdam holland']",city,Europe,a
anaheim california,"['anaheim', 'anaheim ca', 'anaheim usa']",city,North America,a
austin texas,"['austin', 'austin tx', 'austin usa']",city,North America,a
auckland new zealand,"['auckland', 'auckland nz']",city,Australia,a
asheville north carolina,"['asheville', 'asheville nc', 'asheville usa']",city,North America,a
ashgabat turkmenistan,"['ashgabat', 'ashgabad turkmenistan']",city,Asia,a
athens greece,['athens'],city,Europe,a
athens georgia,"['athens', 'athens ga', 'athens usa']",city,North America,a
atlanta georgia,"['atlanta', 'atlanta ga', 'atlanta usa']",city,North America,a
antwerp belgium,['antwerp'],city,Europe,a
adelaide australia,['adelaide'],city,Australia,a
astana kazakhstan,['astana'],city,Asia,a
asuncion paraguay,['asuncion'],city,South America,a
algiers algeria,['algiers'],city,Africa,a
acapulco mexico,['acapulco'],city,North America,a
ankara turkey,['ankara'],city,Europe,a
baghdad iraq,['baghdad'],city,Asia,b
bangkok thailand,['bangkok'],city,Asia,b
beijing china,"['beijing', 'peking']",city,Asia,b
berlin germany,['berlin'],city,Europe,b
boston massachusetts,"['boston', 'boston ma', 'boston usa']",city,North America,b
buenos aires argentina,['buenos aires'],city,South America,b
bursa turkey,['bursa'],city,Asia,b
bucharest romania,['bucharest'],city,Europe,b
baltimore maryland,"['baltimore', 'baltimore md', 'baltimore usa']",city,North America,b
beirut lebanon,['beirut'],city,Asia,b
belfast northern ireland,"['belfast', 'belfast uk', 'belfast united kingdom']",city,Europe,b
bratislava slovakia,['bratislava'],city,Europe,b
belgrade serbia,['belgrade'],city,Europe,b
budapest hungary,['budapest'],city,Europe,b
baku azerbaijan,['baku'],city,Asia,b
bordeaux france,['bordeaux'],city,Europe,b
busan south korea,['busan'],city,Asia,b
brussels belgium,['brussels'],city,Europe,b
bangalore india,['bangalore'],city,Asia,b
calgary canada,['calgary'],city,North America,c
chicago illinois,"['chicago', 'chi']",city,North America,c
copenhagen denmark,['copenhagen'],city,Europe,c
columbus ohio,['columbus'],city,North America,c
cologne germany,['cologne'],city,Europe,c
cairo egypt,['cairo'],city,Africa,c
cape town south africa,"['cape town', 'cape town sa']",city,Africa,c
caracas venezuela,['caracas'],city,South America,c
cleveland ohio,['cleveland'],city,North America,c
cork ireland,['cork'],city,Europe,c
christchurch new zealand,"['christchurch', 'christchurch nz']",city,Australia,c
casablanca morocco,['casablanca'],city,Africa,c
chengdu china,['chengdu'],city,Asia,c
cannes france,['cannes'],city,Europe,c
canberra australia,['canberra'],city,Australia,c
dallas texas,"['dallas', 'dallas tx']",city,North America,d
dubai united arab emirates,"['dubai', 'dubai uae']",city,Asia,d
dhaka bangladesh,['dhaka'],city,Asia,d
dakar senegal,['dakar'],city,Africa,d
delhi india,['delhi'],city,Asia,d
durban south africa,['durban'],city,Africa,d
dublin ireland,['dublin'],city,Europe,d
dalian china,['dalian'],city,Asia,d
doha qatar,['doha'],city,Asia,d
denver colorado,"['denver', 'denver co', 'denver usa']",city,North America,d
dusseldorf germany,['dusseldorf'],city,Europe,d
davao city philippines,['davao city'],city,Asia,d
darwin australia,['darwin'],city,Australia,d
dunfermline scotland,['dunfermline'],city,Europe,d
daegu south korea,['daegu'],city,Asia,d
damascus syria,['damascus'],city,Asia,d
dar es salaam tanzania,['dar es salaam'],city,Africa,d
edinburgh scotland,['edinburgh'],city,Europe,e
edmonton canada,['edmonton'],city,North America,e
essen germany,['essen'],city,Europe,e
evora portugal,['evora'],city,Europe,e
ensenada mexico,['ensenada'],city,North America,e
el paso texas,['el paso'],city,North America,e
enugu nigeria,['enugu'],city,Africa,e
enschede netherlands,['enschede'],city,Europe,e
eureka california,['eureka'],city,North America,e
erie pennsylvania,"['erie', 'erie pa', 'erie usa']",city,North America,e
eilat israel,['eilat'],city,Africa,e
essentuki russia,['essentuki'],city,Europe,e
esbjerg denmark,['esbjerg'],city,Europe,e
fez morocco,['fez'],city,Africa,f
florence italy,['florence'],city,Europe,f
frankfurt germany,['frankfurt'],city,Europe,f
fort worth texas,"['fort worth', 'forth worth tx', 'fort worth usa']",city,North America,f
fukuoka japan,['fukuoka'],city,Asia,f
faisalabad pakistan,['faisalabad'],city,Asia,f
fujairah united arab emirates,"['fujairah', 'fujairah uae']",city,Asia,f
funafuti tuvalu,['funafuti'],city,Asia,f
florianopolis brazil,['florianopolis'],city,South America,f
flinders australia,['flinders'],city,Australia,f
faro portugal,['faro'],city,Europe,f
fujairah united arab emirates,"['fujairah', 'fujairah uae']",city,Asia,f
fort mcmurray canada,['fort mcmurray'],city,North America,f
fortaleza brazil,['fortaleza'],city,South America,f
friesland netherlands,['friesland'],city,Europe,f
funchal portugal,['funchal'],city,Europe,f
fuzhou china,['fuzhou'],city,Asia,f
fresno california,"['fresno', 'fresno ca', 'fresno usa']",city,North America,f
fermoy ireland,['fermoy'],city,Europe,f
fukushima japan,['fukushima'],city,Asia,f
glasgow scotland,['glasgow'],city,Europe,g
guangzhou china,['guangzhou'],city,Asia,g
gdansk poland,['gdansk'],city,Europe,g
guatemala city guatemala,['guatemala city'],city,North America,g
guwahati india,['guwahati'],city,Asia,g
gyeongju south korea,['gyeongju'],city,Asia,g
genoa italy,['genoa'],city,Europe,g
grahamstown south africa,['grahamstown'],city,Africa,g
guadalajara mexico,['guadalajara'],city,North America,g
geneva switzerland,['geneva'],city,Europe,g
graz austria,['graz'],city,Europe,g
gwangju south korea,['gwangju'],city,Asia,g
houston texas,"['houston', 'houston tx', 'houston usa']",city,North America,h
hamburg germany,['hamburg'],city,Europe,h
hanoi vietnam,['hanoi'],city,Asia,h
helsinki finland,['helsinki'],city,Europe,h
ho chi minh city vietnam,"['ho chi minh city', 'ho chi minh', 'saigon']",city,Asia,h
haifa israel,['haifa'],city,Asia,h
havana cuba,['havana'],city,North America,h
hong kong china,['hong kong'],city,Asia,h
hobart australia,['hobart'],city,Australia,h
hangzhou china,['hangzhou'],city,Asia,h
hilo hawaii,['hilo'],city,North America,h
hermosillo mexico,['hermosillo'],city,North America,h
honolulu hawaii,"['honolulu', 'honolulu hi', 'honolulu usa']",city,North America,h
helsingborg sweden,['helsingborg'],city,Europe,h
hiroshima japan,['hiroshima'],city,Asia,h
harare zimbabwe,['harare'],city,Africa,h
istanbul turkey,['istanbul'],city,Europe,i
indianapolis indiana,"['indianapolis', 'indianapolis in', 'indianapolis usa']",city,North America,i
ibadan nigeria,['ibadan'],city,Africa,i
istanbul turkey,['istanbul'],city,Europe,i
indore india,['indore'],city,Asia,i
izmir turkey,['izmir'],city,Asia,i
isafahan iran,['isafahan'],city,Asia,i
incheon south korea,['incheon'],city,Asia,i
innsbruck austria,['innsbruck'],city,Europe,i
islamabad pakistan,['islamabad'],city,Asia,i
ingolstadt germany,['ingolstadt'],city,Europe,i
irvine california,"['irvine', 'irvine ca', 'irvine usa']",city,North America,i
irkutsk russia,['irkutsk'],city,Asia,i
jakarta indonesia,['jakarta'],city,Asia,j
jerusalem israel,['jerusalem'],city,Asia,j
jacksonville florida,['jacksonville'],city,North America,j
johannesburg south africa,['johannesburg'],city,Africa,j
jabalpur india,['jabalpur'],city,Asia,j
jinan china,['jinan'],city,Asia,j
jeddah saudi arabia,['jeddah'],city,Asia,j
jalapa guatemala,['jalapa'],city,North America,j
jackson mississippi,['jackson'],city,North America,j
juarez mexico,['juarez'],city,North America,j
jabalpur india,['jabalpur'],city,Asia,j
jining china,['jining'],city,Asia,j
kampala uganda,['kampala'],city,Africa,k
kathmandu nepal,['kathmandu'],city,Asia,k
kaunas lithuania,['kaunas'],city,Europe,k
kuala lumpur malaysia,['kuala lumpur'],city,Asia,k
kyoto japan,['kyoto'],city,Asia,k
kagoshima japan,['kagoshima'],city,Asia,k
karachi pakistan,['karachi'],city,Asia,k
kiev ukraine,"['kiev', 'kyiv', 'kyiv ukraine']",city,Europe,k
kingston jamaica,['kingston'],city,North America,k
kolkata india,"['kolkata', 'calcutta']",city,Asia,k
kunming china,['kunming'],city,Asia,k
kabul afghanistan,['kabul'],city,Asia,k
kyiv ukraine,['kyiv'],city,Europe,k
kawasaki japan,['kawasaki'],city,Asia,k
london england,['london'],city,Europe,l
la paz bolivia,['la paz'],city,South America,l
los angeles california,"['los angeles', 'los angeles ca', 'los angeles usa', 'la', 'la ca', 'la california', 'la usa']",city,North America,l
lima peru,['lima'],city,South America,l
lyon france,['lyon'],city,Europe,l
lisbon portugal,['lisbon'],city,Europe,l
luanda angola,['luanda'],city,Africa,l
liverpool england,"['liverpool', 'liverpool uk']",city,Europe,l
lagos nigeria,['lagos'],city,Africa,l
leeds england,"['leeds', 'leeds uk']",city,Europe,l
ljubljana slovenia,['ljubljana'],city,Europe,l
lyon france,['lyon'],city,Europe,l
lima peru,['lima'],city,South America,l
lviv ukraine,['lviv'],city,Europe,l
leipzig germany,['leipzig'],city,Europe,l
lusaka zambia,['lusaka'],city,Africa,l
lausanne switzerland,['lausanne'],city,Europe,l
madrid spain,['madrid'],city,Europe,m
manchester england,['manchester'],city,Europe,m
mexico city mexico,['mexico city'],city,North America,m
manila philippines,['manila'],city,Asia,m
montreal canada,['montreal'],city,North America,m
milan italy,['milan'],city,Europe,m
moscow russia,['moscow'],city,Europe,m
madrid spain,['madrid'],city,Europe,m
mumbai india,['mumbai'],city,Asia,m
managua nicaragua,['managua'],city,North America,m
melbourne australia,['melbourne'],city,Australia,m
marrakech morocco,['marrakech'],city,Africa,m
miami florida,"['miami', 'miami fl', 'miami usa']",city,North America,m
minneapolis minnesota,['minneapolis'],city,North America,m
mecca saudi arabia,['mecca'],city,Asia,m
melbourne australia,['melbourne'],city,Australia,m
makati philippines,['makati'],city,Asia,m
monterrey mexico,['monterrey'],city,North America,m
nagoya japan,['nagoya'],city,Asia,n
new york city,"['new york city', 'nyc', 'new york']",city,North America,n
nanjing china,['nanjing'],city,Asia,n
new delhi india,['new delhi'],city,Asia,n
nantes france,['nantes'],city,Europe,n
noida india,['noida'],city,Asia,n
newcastle upon tyne england,"['newcastle', 'newcastle upon tyne']",city,Europe,n
nice france,['nice'],city,Europe,n
nurumberg germany,['nurumberg'],city,Europe,n
new orleans louisiana,['new orleans'],city,North America,n
nairobi kenya,['nairobi'],city,Africa,n
naples italy,['naples'],city,Europe,n
noosa australia,['noosa'],city,Australia,n
osaka japan,['osaka'],city,Asia,o
oklahoma city oklahoma,['oklahoma city'],city,North America,o
oslo norway,['oslo'],city,Europe,o
oxford england,['oxford'],city,Europe,o
ottawa canada,['ottawa'],city,North America,o
orsay france,['orsay'],city,Europe,o
odessa ukraine,['odessa'],city,Europe,o
oranjestad aruba,['oranjestad'],city,North America,o
orlando florida,"['orlando', 'orlando fl', 'orlando usa']",city,North America,o
ostrava czech republic,['ostrava'],city,Europe,o
oaxaca mexico,['oaxaca'],city,North America,o
otago new zealand,['otago'],city,Australia,o
ouagadougou burkina faso,['ouagadougou'],city,Africa,o
odense denmark,['odense'],city,Europe,o
oulu finland,['oulu'],city,Europe,o
paris france,['paris'],city,Europe,p
prague czech republic,['prague'],city,Europe,p
porto portugal,['porto'],city,Europe,p
philadelphia pennsylvania,['philadelphia'],city,North America,p
pyeongyang north korea,['pyeongyang'],city,Asia,p
perth australia,['perth'],city,Australia,p
plovdiv bulgaria,['plovdiv'],city,Europe,p
pattaya thailand,['pattaya'],city,Asia,p
portland oregon,['portland'],city,North America,p
phoenix arizona,['phoenix'],city,North America,p
porto alegre brazil,['porto alegre'],city,South America,p
peshawar pakistan,['peshawar'],city,Asia,p
panama city panama,['panama city'],city,North America,p
rome italy,['rome'],city,Europe,r
rio de janeiro brazil,['rio de janeiro'],city,South America,r
riyadh saudi arabia,['riyadh'],city,Asia,r
reykjavik iceland,['reykjavik'],city,Europe,r
rotterdam netherlands,['rotterdam'],city,Europe,r
ras al khaimah united arab emirates,['ras al khaimah'],city,Asia,r
raleigh north carolina,['raleigh'],city,North America,r
riga latvia,['riga'],city,Europe,r
rochester new york,['rochester'],city,North America,r
recife brazil,['recife'],city,South America,r
san francisco california,['san francisco'],city,North America,s
sydney australia,['sydney'],city,Australia,s
singapore,['singapore'],city,Asia,s
seoul south korea,['seoul'],city,Asia,s
stockholm sweden,['stockholm'],city,Europe,s
santiago chile,['santiago'],city,South America,s
san diego california,['san diego'],city,North America,s
shanghai china,['shanghai'],city,Asia,s
sao paulo brazil,['sao paulo'],city,South America,s
stuttgart germany,['stuttgart'],city,Europe,s
sevilla spain,['sevilla'],city,Europe,s
saskatoon canada,['saskatoon'],city,North America,s
san salvador el salvador,['san salvador'],city,South America,s
sofia bulgaria,['sofia'],city,Europe,s
seattle washington,['seattle'],city,North America,s
tokyo japan,['tokyo'],city,Asia,t
torino italy,['torino'],city,Europe,t
tunis tunisia,['tunis'],city,Africa,t
tashkent uzbekistan,['tashkent'],city,Asia,t
toronto canada,['toronto'],city,North America,t
tirana albania,['tirana'],city,Europe,t
tijuana mexico,['tijuana'],city,North America,t
turin italy,['turin'],city,Europe,t
tokyo japan,['tokyo'],city,Asia,t
thessaloniki greece,['thessaloniki'],city,Europe,t
taegu south korea,['taegu'],city,Asia,t
taksim turkey,['taksim'],city,Europe,t
taipei taiwan,['taipei'],city,Asia,t
tripoli libya,['tripoli'],city,Africa,t
tokyo japan,['tokyo'],city,Asia,t
ulaanbaatar mongolia,['ulaanbaatar'],city,Asia,u
ubud indonesia,['ubud'],city,Asia,u
uppsala sweden,['uppsala'],city,Europe,u
urumqi china,['urumqi'],city,Asia,u
vaduz liechtenstein,['vaduz'],city,Europe,v
vancouver canada,['vancouver'],city,North America,v
valencia spain,['valencia'],city,Europe,v
vigo spain,['vigo'],city,Europe,v
valparaiso chile,['valparaiso'],city,South America,v
vladivostok russia,['vladivostok'],city,Asia,v
vienna austria,['vienna'],city,Europe,v
vilnius lithuania,['vilnius'],city,Europe,v
villarreal spain,['villarreal'],city,Europe,v
washington dc,['washington dc'],city,North America,w
westminster england,['westminster'],city,Europe,w
wilmington delaware,['wilmington'],city,North America,w
wroclaw poland,['wroclaw'],city,Europe,w
warsaw poland,['warsaw'],city,Europe,w
wellington new zealand,['wellington'],city,Australia,w
winnipeg manitoba,['winnipeg'],city,North America,w
warsaw poland,['warsaw'],city,Europe,w
wuhan china,['wuhan'],city,Asia,w
yokohama japan,['yokohama'],city,Asia,y
york england,['york'],city,Europe,y
yaounde cameroon,['yaounde'],city,Africa,y
yuma arizona,['yuma'],city,North America,y
ypres belgium,['ypres'],city,Europe,y
yakutsk russia,['yakutsk'],city,Asia,y
yerevan armenia,['yerevan'],city,Europe,y
yanbu saudi arabia,['yanbu'],city,Asia,y
yogyakarta indonesia,['yogyakarta'],city,Asia,y
yekaterinburg russia,['yekaterinburg'],city,Europe,y
zacatecas mexico,['zacatecas'],city,North America,z
zunyi china,['zunyi'],city,Asia,z
zincantan mexico,['zincantan'],city,North America,z
zagreb croatia,['zagreb'],city,Europe,z
zeeland netherlands,['zeeland'],city,Europe,z
zhongshan china,['zhongshan'],city,Asia,z
zanzibar tanzania,['zanzibar'],city,Africa,z
zurich switzerland,['zurich'],city,Europe,z
zaragoza spain,['zaragoza'],city,Europe,z
denali,"['mount mckinley', 'mt mckinley']",landmark,North America,d
mount saint lias,['mt st elias'],landmark,Europe,m
mount whitney,['mt whitney'],landmark,North America,m
mount rainier,['mt rainier'],landmark,North America,m
iztaccihuatl,[],landmark,North America,i
grand teton,[],landmark,North America,g
gannett peak,[],landmark,North America,g
mount adams,['mt adams'],landmark,North America,m
mount saint helens,['mt st helens'],landmark,North America,m
mount shasta,['mt shasta'],landmark,North America,m
mount saint helens,['mt st helens'],landmark,North America,m
pikes peak,[],landmark,North America,p
aconcagua,[],landmark,South America,a
fitz roy,[],landmark,South America,f
cotopaxi,[],landmark,South America,c
chimborazo,[],landmark,South America,c
mont blanc,[],landmark,Europe,m
zugspitze,[],landmark,Europe,z
mount elbrus,['mt elbrus'],landmark,Europe,m
mount etna,['mt etna'],landmark,Europe,m
everest,"['mt everest', 'mount everest']",landmark,Asia,e
k2,[],landmark,Asia,k
lhotse,[],landmark,Asia,l
makalu,[],landmark,Asia,m
cho oyu,[],landmark,Asia,c
manaslu,[],landmark,Asia,m
annapurna,[],landmark,Asia,a
dhaulagiri,[],landmark,Asia,d
nanga parbat,[],landmark,Asia,n
kangchenjunga,[],landmark,Asia,k
mount fuji,"['fuji', 'mt fuji']",landmark,Asia,m
kilimanjaro,"['mount kilimanjaro', 'mt kilimanjaro']",landmark,Africa,k
meru,"['mount meru', 'mt meru']",landmark,Africa,m
aoraki,"['mount cook', 'mt cook']",landmark,Australia,a
haleakala,[],landmark,North America,h
puncak jaya,[],landmark,Asia,p
sumantri,[],landmark,Asia,s
amazon,['amazonas'],landmark,South America,a
colorado river,[],landmark,North America,c
dnieper,[],landmark,Europe,d
ganges,"['ganga', 'ganges river']",landmark,Asia,g
illinois river,[],landmark,North America,i
mississippi river,[],landmark,North America,m
nile,[],landmark,Africa,n
rhine,[],landmark,Europe,r
yangtze river,"['changjiang', 'yangtze']",landmark,Asia,y
yellow river,['huang he'],landmark,Asia,y
zambezi river,['zambezi'],landmark,Africa,z
yenisei river,['yenisei'],landmark,Asia,y
